ownership_date,committer_id,ownership_count_90,ownership_count_80,ownership_count_70,commits_since_last_date,num_changed_loc_since_last_date,active_since_last_date,ownership_count_simple_majority,total_num_files_committed_to_so_far,num_files_committed_to_since_last_date,total_commits_so_far,minority_contributor_count,ownership_count_100
2006-11-03 11:26:17,1,0,0,0,2,16,t,0,2,2,2,1,0
2006-11-03 11:26:17,26,149,161,172,497,39517,t,262,300,300,39,4,149
2006-11-03 11:26:17,42,0,1,1,0,0,f,3,6,0,9,0,0
2006-11-03 11:26:17,18,5539,5567,5603,1115,74629,t,7690,9453,1068,953,22,5537
2006-11-03 11:26:17,30,7,8,11,153,6377,t,59,241,162,76,17,7
2006-11-03 11:26:17,4,1,1,1,1,34,t,1,1,1,1,0,1
2006-11-03 11:26:17,59,64,66,67,105,8604,t,112,165,84,66,16,63
2006-11-03 11:26:17,60,1,1,2,7,63,t,133,1022,11,42,65,1
2006-11-03 11:26:17,73,2,2,2,61,2257,t,12,34,34,22,3,2
2006-11-03 11:26:17,39,18,18,19,97,2935,t,80,122,122,19,9,18
2006-11-03 11:26:17,16,0,0,0,30,4993,t,25,114,110,13,14,0
2006-11-03 11:26:17,40,34,34,36,174,14483,t,60,97,97,19,1,34
2006-11-03 11:26:17,53,0,0,0,0,0,f,0,1,0,1,1,0
2006-11-03 11:26:17,29,73,89,105,536,50654,t,218,384,317,114,40,73
2006-11-03 11:26:17,21,18,20,22,60,2788,t,29,52,35,44,6,18
2006-11-03 11:26:17,72,42,57,72,493,114601,t,229,323,264,285,3,41
2006-11-03 11:26:17,51,105,105,107,339,21125,t,124,225,225,51,0,105
2006-11-03 11:26:17,3,0,0,0,0,0,f,12,66,0,45,29,0
2006-11-03 11:26:17,41,2576,2598,2645,720,22157,t,3958,5265,364,983,44,2576
2006-11-03 11:26:17,31,2,2,2,93,2440,t,18,118,80,42,18,2
2006-11-03 11:26:17,61,0,0,0,2,8,t,0,2,2,2,0,0
2006-11-03 11:26:17,52,38,38,39,0,0,f,98,174,0,49,11,38
2006-11-03 11:26:17,20,0,0,0,0,0,f,0,3,0,3,3,0
2006-11-03 11:26:17,13,0,0,0,60,5093,t,15,57,57,7,12,0
2006-11-03 11:26:17,44,30,34,48,8,1249,t,182,524,11,164,40,30
2006-11-03 11:26:17,49,0,0,0,0,0,f,0,68,0,33,28,0
2006-11-03 11:26:17,22,44,45,48,186,7117,t,68,175,89,38,12,44
2006-11-03 11:26:17,9,2808,2814,2828,1366,318957,t,3100,3965,3821,480,25,2808
2006-11-03 11:26:17,24,18,19,19,164,13869,t,48,177,177,54,24,18
2006-11-03 11:26:17,7,0,0,0,0,0,f,7,8,0,3,0,0
2006-11-03 11:26:17,70,0,0,0,0,0,f,1,87,0,11,8,0
2006-11-03 11:26:17,45,0,0,0,0,0,f,1,28,0,8,3,0
2006-11-03 11:26:17,27,288,308,342,457,31530,t,936,1913,401,615,104,285
2006-11-03 11:26:17,48,11,15,24,0,0,f,115,230,0,18,0,11
2006-11-03 11:26:17,28,754,811,902,1364,78886,t,1402,3593,864,602,88,748
2006-11-03 11:26:17,68,6,10,11,158,13128,t,80,129,129,22,3,6
2006-11-03 11:26:17,36,735,772,879,22,10040,t,1692,3535,22,472,82,734
2006-11-03 11:26:17,66,0,0,0,37,2767,t,10,28,28,14,3,0
2006-11-03 11:26:17,77,1,1,1,0,0,f,1,5,0,4,2,1
2006-11-03 11:26:17,38,526,552,647,1612,282055,t,1584,4847,1373,1153,17,526
2007-03-27 23:16:51,43,4,4,4,97,8229,t,46,181,26,156,35,4
2007-03-27 23:16:51,34,17,18,22,245,13796,t,66,89,89,100,1,17
2007-03-27 23:16:51,8,0,0,0,12,258,t,0,4,4,9,1,0
2007-03-27 23:16:51,12,0,0,0,2,6,t,0,2,2,1,0,0
2007-03-27 23:16:51,1,3780,3780,3780,569,288177,t,3794,3797,3797,9,1,3780
2007-03-27 23:16:51,26,116,131,157,2283,117636,t,346,551,345,384,13,111
2007-03-27 23:16:51,42,0,1,1,0,0,f,3,6,0,9,0,0
2007-03-27 23:16:51,18,8952,8973,9006,593,257020,t,11026,12982,3540,994,78,8950
2007-03-27 23:16:51,59,15,16,18,81,3707,t,108,187,35,116,23,14
2007-03-27 23:16:51,78,11,15,20,767,47708,t,63,180,180,150,14,11
2007-03-27 23:16:51,39,16,16,16,58,2362,t,87,172,78,27,28,16
2007-03-27 23:16:51,16,0,0,1,24,3138,t,13,115,6,25,15,0
2007-03-27 23:16:51,54,0,0,0,15,2289,t,0,5,5,15,0,0
2007-03-27 23:16:51,3,0,0,0,3,300,t,13,66,1,48,29,0
2007-03-27 23:16:51,61,0,0,0,0,0,f,0,2,0,2,0,0
2007-03-27 23:16:51,13,2,2,2,6,410,t,18,63,6,9,15,2
2007-03-27 23:16:51,49,0,0,0,0,0,f,1,68,0,33,28,0
2007-03-27 23:16:51,22,46,48,52,481,22333,t,84,266,94,84,18,46
